tag,sentiment_1,sentiment_2,sentiment_3
porn,creation',creative_activity'],
follow,travel',go',move'
Labor,class',stratum',social_class'
Job,activity'],,
Jobs,activity'],,
Adult,person',individual',someone'
Social,party'],,
sex,bodily_process',body_process',bodily_function'
dating,chemical_analysis',qualitative_analysis'],
Website,computer',computing_machine',computing_device'
Redesign,design',plan'],
Strategy,plan_of_action'],,
Website,computer',computing_machine',computing_device'
Redesign,design',plan'],
Strategy,plan_of_action'],,
Dementia,insanity'],,
Dementia,insanity'],,
Dementia,insanity'],,
Dementia,insanity'],,
Dementia,insanity'],,
Draft,negotiable_instrument'],,
Lynch,kill'],,
Lynch,kill'],,
Lynch,kill'],,
Lynch,kill'],,
Lynch,kill'],,
Lynch,kill'],,
Lynch,kill'],,
Fast,abstinence'],,
technology,application',practical_application'],profession']
Video,visual_communication'],,
horror,fear',fearfulness',fright']
Video,visual_communication'],,
horror,fear',fearfulness',fright']
Venom,animal_toxin',zootoxin'],
venom,animal_toxin',zootoxin'],
writers,communicator'],,
COLLIDE,conflict'],,
Nickelodeon,record_player',phonograph'],
JR,son',boy'],
SAnity,mental_health'],,
shopping,buying',purchasing'],
nw,compass_point',point'],
SouthPaw,pitcher',hurler',twirler']
Photography,pictorial_representation',picturing'],
soccer,football',football_game'],
Fans,device'],,
office,place_of_business',business_establishment'],
home,residence',abode'],
studio,workplace',work'],
Corn,cereal',cereal_grass'],
Photography,pictorial_representation',picturing'],
business,enterprise'],,
whisky,liquor',spirits',booze'
Sake,benefit',welfare'],
Whisky,liquor',spirits',booze'
Radio,broadcasting'],,
Music,auditory_communication'],,
Live,be'],,
NP,metallic_element',metal'],
Pop,father',male_parent',begetter']
Rap,reproach'],,
staged,re-create'],,
capital,assets'],,
investors,capitalist'],,
capital,assets'],,
investors,capitalist'],,
Rental,property',belongings',holding']
Tusk,dentine',dentin'],
Claims,assertion',averment',asseveration']
Russian,native',indigen',indigene'
Teens,time_of_life'],,
Babysitters,keeper'],,
movies,product',production'],show']
cinema,medium'],,
tees,site',land_site'],
clothing,consumer_goods'],covering'],
tees,site',land_site'],
clothing,consumer_goods'],covering'],
Canadian,North_American'],,
Trailer,idler',loafer',do-nothing'
movie,product',production'],show']
trailer,idler',loafer',do-nothing'
throwback,organism',being'],
horror,fear',fearfulness',fright']
Podcast,circulate',circularize',circularise'
Nets,computer_network'],,
blackcock,black_grouse'],,
demolition,ending',conclusion',finish']
twitch,spasm',cramp',muscle_spasm']
gaming,diversion',recreation'],vice']
Truth,fact'],,
amazing,surprise'],,
cake,block'],,
enchanted,please',delight'],
celebrity,important_person',influential_person',personage']
actor,performer',performing_artist'],
Criminal,principal'],,
legend,story'],,
internet,computer_network'],,
POLICE,force',personnel'],law_enforcement_agency']
CAPITOL,government_building'],,
seeing,perception'],,
youth,juvenile',juvenile_person'],
youths,juvenile',juvenile_person'],
homeless,unfortunate',unfortunate_person'],
horror,fear',fearfulness',fright']
horror,fear',fearfulness',fright']
horror,fear',fearfulness',fright']
horror,fear',fearfulness',fright']
Canadians,North_American'],,
Americans,inhabitant',habitant',dweller'
Brits,nation',land',country']
actors,performer',performing_artist'],
models,hypothesis',possibility',theory']
art,creation'],,
Canadians,North_American'],,
Americans,inhabitant',habitant',dweller'
Brits,nation',land',country']
actors,performer',performing_artist'],
models,hypothesis',possibility',theory']
art,creation'],,
Canadians,North_American'],,
Americans,inhabitant',habitant',dweller'
Brits,nation',land',country']
actors,performer',performing_artist'],
models,hypothesis',possibility',theory']
Anthropoid,misfit'],,
Anthropoid,misfit'],,
SAT,weekday'],,
ACT,legal_document',legal_instrument',official_document'
therapy,medical_care',medical_aid'],
counseling,message',content',subject_matter'
psychotherapy,psychiatry',psychopathology',psychological_medicine']
counselor,adviser',advisor',consultant']
therapist,expert'],,
psychology,science',scientific_discipline'],
technology,application',practical_application'],profession']
Trafficking,trade',merchandise'],
Thriller,adventure_story',heroic_tale'],
Trafficking,trade',merchandise'],
Thriller,adventure_story',heroic_tale'],
Trafficking,trade',merchandise'],
Thriller,adventure_story',heroic_tale'],
Retribution,penalty'],,
survivalist,person',individual',someone'
homesteading,settle'],,
FREE,people'],,
BOOK,publication'],,
SURVIVALIST,person',individual',someone'
preparedness,state'],,
Spoilers,campaigner',candidate',nominee']
BREAKING,change_of_integrity'],,
BREAKING,change_of_integrity'],,
grief,sorrow'],,
grief,sorrow'],,
Oligarchs,ruler',swayer'],
Union,organization',organisation'],
Occupy,work'],,
Humanity,humaneness'],,
biohazard,health_hazard'],,
Transformers,electrical_device'],,
Transformers,electrical_device'],,
autumn,season',time_of_year'],
scenery,stage_set',set'],
trees,woody_plant',ligneous_plant'],
enchanted,please',delight'],
celebrity,important_person',influential_person',personage']
actor,performer',performing_artist'],
autumn,season',time_of_year'],
scenery,stage_set',set'],
trees,woody_plant',ligneous_plant'],
intern,doctor',doc',physician'
internship,position',post',berth'
intern,doctor',doc',physician'
job,activity'],,
Intern,doctor',doc',physician'
job,activity'],,
Intern,doctor',doc',physician'
look,countenance',visage'],
good,advantage',vantage'],
things,property',belongings',holding']
state,administrative_district',administrative_division',territorial_division']
appreciation,understanding',apprehension',discernment'
lift,aid',assist',assistance'
limitations,rule',regulation'],
free,people'],,
receive,get',acquire'],
film,product',production'],show']
adoption,blessing',approval',approving']
adoption,blessing',approval',approving']
English,West_Germanic',West_Germanic_language'],
Nw,compass_point',point'],
romance,relationship'],,
dark,illumination'],,
immortals,celebrity',famous_person'],
magic,supernaturalism'],,
fantasy,imagination',imaginativeness',vision']
silos,tower'],,
art,creation'],,
amazon,woman',adult_female'],
music,auditory_communication'],,
listen,perceive',comprehend'],
information,message',content',subject_matter'
review,appraisal',assessment'],
novel,fiction'],,
award,grant',subsidization',subsidisation']
review,appraisal',assessment'],
novel,fiction'],,
Suits,garment'],,
mommy,mother',female_parent'],
why,reason',ground'],
UPDATE,news',intelligence',tidings'
Cavaliers,male_aristocrat'],,
Indians,Amerindian',Native_American'],
healthcare,care',attention',aid'
healthcare,care',attention',aid'
healthcare,care',attention',aid'
healthcare,care',attention',aid'
healthcare,care',attention',aid'
Dutch,nation',land',country']
dogs,canine',canid'],domestic_animal'
rescues,recovery',retrieval'],
love,emotion'],,
rescues,recovery',retrieval'],
love,emotion'],,
exclusive,report',news_report',story'
wall,partition',divider'],
Pop,father',male_parent',begetter']
corrupt,change',alter',modify']
Racist,bigot'],,
Evil,transgression',evildoing'],
Glass,solid'],,
Glass,solid'],,
Cardinal,bishop'],,
NP,metallic_element',metal'],
Solace,comfort'],,
Solace,comfort'],,
calm,disposition',temperament'],
boyhood,childhood'],,
boyhood,childhood'],,
boyhood,childhood'],,
boyhood,childhood'],,
boyhood,childhood'],,
boyhood,childhood'],,
Role,duty'],,
Movie,product',production'],show']
Actor,performer',performing_artist'],
Oscars,award',accolade',honor'
Role,duty'],,
Movie,product',production'],show']
Actor,performer',performing_artist'],
Oscars,award',accolade',honor'
LIFE,being',beingness',existence']
Movies,product',production'],show']
bible,sacred_text',sacred_writing',religious_writing'
BREAKING,change_of_integrity'],,
fifth,United_States_liquid_unit'],,
Trumps,playing_card'],,
poetry,writing_style',literary_genre',genre']
poems,literary_composition',literary_work'],
music,auditory_communication'],,
holiday,leisure',leisure_time'],
tips,end',terminal'],
love,emotion'],,
STAR,celestial_body',heavenly_body'],
STAR,celestial_body',heavenly_body'],
Role,duty'],,
Movie,product',production'],show']
Actor,performer',performing_artist'],
Role,duty'],,
Movie,product',production'],show']
Actor,performer',performing_artist'],
Oscars,award',accolade',honor'
treacle,syrup',sirup'],
custard,dish'],,
KGB,Russian_agency'],,
wallpaper,paper'],,
book,publication'],,
echoes,reflection',reflexion',reflectivity']
consulting,ask',inquire',enquire']
Origins,point'],,
romance,relationship'],,
romance,relationship'],,
romance,relationship'],,
romance,relationship'],,
stream,body_of_water',water'],
live,be'],,
funny,joke',gag',laugh'
TED,tough_guy',plug-ugly'],
verdict,finding'],,
giveaway,gift'],,
Role,duty'],,
Movie,product',production'],show']
Actress,actor',histrion',player'
Oscars,award',accolade',honor'
STAR,celestial_body',heavenly_body'],
Star,celestial_body',heavenly_body'],
STAR,celestial_body',heavenly_body'],
MUSIC,auditory_communication'],,
cheaters,wrongdoer',offender'],
Colts,foal'],male'],
Video,visual_communication'],,
horror,fear',fearfulness',fright']
Oculus,sense_organ',sensory_receptor',receptor']
inclusion,situation',state_of_affairs'],
diversity,heterogeneity',heterogeneousness'],
writing,verbal_creation'],,
EMPIRE,domain',demesne',land']
EMPIRE,domain',demesne',land']
lavender,shrub',bush'],
Gophers,eager_beaver',busy_bee',live_wire'
Gophers,eager_beaver',busy_bee',live_wire'
Bot,larva'],,
love,emotion'],,
FOLLOW,travel',go',move'
cars,motor_vehicle',automotive_vehicle'],
Facts,information'],,
Music,auditory_communication'],,
Music,auditory_communication'],,
Music,auditory_communication'],,
Music,auditory_communication'],,
Travel,motion',movement',move']
discipleship,position',post',berth'
dusk,hour',time_of_day'],
dawn,hour',time_of_day'],
CA,metallic_element',metal'],
movies,product',production'],show']
funny,joke',gag',laugh'
wallpaper,paper'],,
STAR,celestial_body',heavenly_body'],
Hope,anticipation',expectancy'],
Hope,anticipation',expectancy'],
movie,product',production'],show']
print,written_communication',written_language',black_and_white']
np,metallic_element',metal'],
balboa,Panamanian_monetary_unit'],,
Trump,playing_card'],,
concert,performance',public_presentation'],
Mom,mother',female_parent'],
Art,creation'],,
Sculpture,plastic_art'],solid_figure',three-dimensional_figure']
artwork,visual_communication'],,
fox,canine',canid'],
colors,flag'],,
draw,gully'],,
original,creation'],,
pen,writing_implement'],,
artwork,visual_communication'],,
fox,canine',canid'],
colors,flag'],,
draw,gully'],,
LAY,song',vocal'],
friend,person',individual',someone'
reading,linguistic_process',language'],
teacher,educator',pedagogue',pedagog']
needs,condition',status'],
books,publication'],,
friend,person',individual',someone'
reading,linguistic_process',language'],
teacher,educator',pedagogue',pedagog']
needs,condition',status'],
books,publication'],,
pet,animal',animate_being',beast'
wallpaper,paper'],,
MLS,"master's_degree""]",,
MLS,"master's_degree""]",,
MLS,"master's_degree""]",,
MLS,"master's_degree""]",,
MLS,"master's_degree""]",,
MLS,"master's_degree""]",,
Scandal,gossip',comment',scuttlebutt']
FreeThinker,nonreligious_person'],,
FreeThinker,nonreligious_person'],,
Exchange,chemical_phenomenon'],,
Boobs,simpleton',simple'],
Pierced,penetrate',perforate'],
Macron,diacritical_mark',diacritic'],
Macron,diacritical_mark',diacritic'],
Macron,diacritical_mark',diacritic'],
BREAKING,change_of_integrity'],,
BREAKING,change_of_integrity'],,
BREAKING,change_of_integrity'],,
BREAKING,change_of_integrity'],,
Star,celestial_body',heavenly_body'],
Nw,compass_point',point'],
Empire,domain',demesne',land']
ACCEPT,evaluate',pass_judgment',judge']
photography,pictorial_representation',picturing'],
Suits,garment'],,
Trivia,object',physical_object'],
May,Gregorian_calendar_month'],,
Trance,psychological_state',psychological_condition',mental_state'
Trance,psychological_state',psychological_condition',mental_state'
History,past',past_times',yesteryear']
Bible,sacred_text',sacred_writing',religious_writing'
Revelations,speech_act'],,
fire,happening',occurrence',occurrent'
Bible,sacred_text',sacred_writing',religious_writing'
Revelations,speech_act'],,
avengers,attacker',aggressor',assailant'
KC,rate'],,
Film,product',production'],show']
empire,domain',demesne',land']
